ID,Year,Month,Day,Time,Type,Occurence,Apprehension,Neighbourhood_number,Neighbourhood_name
128,2014,January,Friday,21,Person in Crisis,Yes,Yes,100,Yonge-Eglinton
129,2014,January,Friday,21,Person in Crisis,No,No,37,Willowdale West
130,2014,January,Friday,16,Person in Crisis,No,No,54,O'Connor-Parkview
131,2014,January,Friday,11,Suicide-related,No,No,174,South Eglinton-Davisville
132,2014,January,Friday,12,Person in Crisis,No,No,85,South Parkdale
133,2014,January,Friday,20,Suicide-related,No,No,174,South Eglinton-Davisville
134,2014,January,Friday,7,Suicide-related,No,No,136,West Hill
135,2014,January,Friday,15,Person in Crisis,Yes,Yes,99,Mount Pleasant East
136,2014,January,Friday,10,Person in Crisis,No,No,30,Brookhaven-Amesbury
137,2014,January,Friday,17,Person in Crisis,Yes,Yes,164,Wellington Place
138,2014,January,Friday,23,Person in Crisis,Yes,Yes,70,South Riverdale
139,2014,January,Friday,10,Person in Crisis,Yes,No,36,Newtonbrook West
140,2014,January,Friday,18,Person in Crisis,No,No,2,Mount Olive-Silverstone-Jamestown
141,2014,January,Friday,19,Person in Crisis,No,No,95,Annex
142,2014,January,Friday,12,Person in Crisis,Yes,Yes,167,Church-Wellesley
143,2014,January,Friday,19,Suicide-related,No,No,164,Wellington Place
144,2014,January,Friday,19,Person in Crisis,Yes,Yes,46,Pleasant View
145,2014,January,Friday,23,Suicide-related,No,No,1,West Humber-Clairville
306,2014,January,Tuesday,16,Person in Crisis,No,No,118,Tam O'Shanter-Sullivan
307,2014,January,Tuesday,16,Suicide-related,No,No,146,Malvern East
308,2014,January,Tuesday,12,Suicide-related,Yes,No,73,Moss Park
309,2014,January,Tuesday,15,Suicide-related,No,No,109,Caledonia-Fairbank
310,2014,January,Tuesday,8,Person in Crisis,No,No,106,Humewood-Cedarvale
311,2014,January,Tuesday,13,Person in Crisis,No,No,89,Runnymede-Bloor West Village
312,2014,January,Tuesday,20,Suicide-related,Yes,Yes,107,Oakwood Village
313,2014,January,Tuesday,16,Suicide-related,Yes,Yes,79,University
314,2014,January,Tuesday,12,Person in Crisis,Yes,Yes,79,University
315,2014,January,Tuesday,12,Overdose,Yes,No,124,Kennedy Park
316,2014,January,Tuesday,2,Person in Crisis,No,No,107,Oakwood Village
317,2014,January,Tuesday,0,Person in Crisis,Yes,Yes,159,Etobicoke City Centre
318,2014,January,Tuesday,17,Person in Crisis,No,No,73,Moss Park
319,2014,January,Tuesday,5,Person in Crisis,No,No,61,Taylor-Massey
320,2014,January,Tuesday,16,Suicide-related,No,No,74,North St.James Town
321,2014,January,Tuesday,16,Suicide-related,No,No,95,Annex
322,2014,January,Tuesday,2,Suicide-related,Yes,Yes,35,Westminster-Branson
323,2014,January,Tuesday,5,Suicide-related,No,No,135,Morningside
324,2014,January,Tuesday,18,Person in Crisis,No,No,61,Taylor-Massey
325,2014,January,Tuesday,11,Person in Crisis,Yes,Yes,158,Islington
326,2014,January,Tuesday,13,Suicide-related,No,No,70,South Riverdale
327,2014,January,Tuesday,3,Person in Crisis,No,No,169,Bay-Cloverhill
328,2014,January,Tuesday,2,Person in Crisis,No,No,124,Kennedy Park
329,2014,January,Tuesday,22,Suicide-related,Yes,No,87,High Park-Swansea
330,2014,January,Tuesday,15,Suicide-related,Yes,No,135,Morningside
331,2014,January,Tuesday,17,Person in Crisis,Yes,No,170,Yonge-Bay Corridor
332,2014,January,Tuesday,21,Person in Crisis,No,No,78,Kensington-Chinatown
333,2014,January,Tuesday,8,Person in Crisis,No,No,130,Milliken
334,2014,January,Tuesday,15,Person in Crisis,Yes,No,35,Westminster-Branson
335,2014,January,Tuesday,6,Person in Crisis,No,No,90,Junction Area
336,2014,January,Tuesday,14,Person in Crisis,No,No,25,Glenfield-Jane Heights
337,2014,January,Tuesday,13,Person in Crisis,No,No,1,West Humber-Clairville
338,2014,January,Tuesday,14,Suicide-related,No,No,105,Lawrence Park North
339,2014,January,Tuesday,7,Person in Crisis,Yes,Yes,129,Agincourt North
340,2014,January,Tuesday,17,Person in Crisis,No,No,168,Downtown Yonge East
341,2014,January,Tuesday,20,Person in Crisis,No,No,102,Forest Hill North
342,2014,January,Tuesday,15,Suicide-related,No,No,81,Trinity-Bellwoods
343,2014,January,Tuesday,10,Suicide-related,No,No,24,Black Creek
344,2014,January,Tuesday,14,Person in Crisis,No,No,95,Annex
345,2014,January,Tuesday,10,Person in Crisis,Yes,Yes,44,Flemingdon Park
346,2014,January,Tuesday,2,Suicide-related,Yes,Yes,95,Annex
347,2014,January,Tuesday,21,Person in Crisis,Yes,Yes,168,Downtown Yonge East
348,2014,January,Tuesday,11,Person in Crisis,No,No,123,Cliffcrest
349,2014,January,Tuesday,13,Person in Crisis,Yes,Yes,68,North Riverdale
350,2014,January,Tuesday,18,Person in Crisis,No,No,164,Wellington Place
351,2014,January,Tuesday,17,Person in Crisis,Yes,Yes,108,Briar Hill-Belgravia
352,2014,January,Tuesday,2,Person in Crisis,No,No,170,Yonge-Bay Corridor
353,2014,January,Tuesday,6,Person in Crisis,No,No,148,East L'Amoreaux
354,2014,January,Tuesday,12,Person in Crisis,Yes,No,84,Little Portugal
355,2014,January,Tuesday,13,Person in Crisis,No,No,73,Moss Park
356,2014,January,Tuesday,3,Person in Crisis,No,No,81,Trinity-Bellwoods
357,2014,January,Tuesday,15,Person in Crisis,No,No,162,West Queen West
358,2014,January,Tuesday,21,Person in Crisis,No,No,70,South Riverdale
359,2014,January,Tuesday,21,Person in Crisis,No,No,90,Junction Area
360,2014,January,Tuesday,20,Person in Crisis,Yes,Yes,141,Golfdale-Cedarbrae-Woburn
361,2014,January,Tuesday,14,Person in Crisis,Yes,Yes,162,West Queen West
362,2014,January,Tuesday,12,Person in Crisis,No,No,62,East End-Danforth
363,2014,January,Tuesday,16,Suicide-related,Yes,No,65,Greenwood-Coxwell
364,2014,January,Tuesday,0,Person in Crisis,No,No,173,North Toronto
365,2014,January,Tuesday,22,Suicide-related,Yes,No,147,L'Amoreaux West
366,2014,January,Tuesday,16,Suicide-related,No,No,47,Don Valley Village
367,2014,January,Tuesday,13,Person in Crisis,No,No,57,Broadview North
491,2014,January,Friday,7,Person in Crisis,No,No,156,Bendale-Glen Andrew
492,2014,January,Friday,2,Person in Crisis,No,No,90,Junction Area
493,2014,January,Friday,15,Person in Crisis,Yes,Yes,128,Agincourt South-Malvern West
494,2014,January,Friday,22,Suicide-related,Yes,Yes,24,Black Creek
495,2014,January,Friday,17,Person in Crisis,No,No,108,Briar Hill-Belgravia
496,2014,January,Friday,14,Person in Crisis,No,No,159,Etobicoke City Centre
497,2014,January,Friday,14,Person in Crisis,Yes,Yes,170,Yonge-Bay Corridor
498,2014,January,Friday,4,Person in Crisis,Yes,Yes,115,Mount Dennis
499,2014,January,Friday,0,Person in Crisis,No,No,71,Cabbagetown-South St.James Town
500,2014,January,Friday,20,Suicide-related,Yes,No,166,St Lawrence-East Bayfront-The Islands
501,2014,January,Friday,9,Person in Crisis,No,No,155,Downsview
502,2014,January,Friday,23,Person in Crisis,Yes,Yes,118,Tam O'Shanter-Sullivan
503,2014,January,Friday,5,Person in Crisis,Yes,Yes,2,Mount Olive-Silverstone-Jamestown
504,2014,January,Friday,13,Person in Crisis,Yes,Yes,70,South Riverdale
505,2014,January,Friday,17,Person in Crisis,Yes,Yes,125,Ionview
506,2014,January,Friday,19,Suicide-related,No,No,38,Lansing-Westgate
507,2014,January,Friday,16,Person in Crisis,No,No,164,Wellington Place
508,2014,January,Friday,18,Suicide-related,No,No,170,Yonge-Bay Corridor
509,2014,January,Friday,1,Suicide-related,No,No,59,Danforth East York
510,2014,January,Friday,21,Person in Crisis,Yes,No,100,Yonge-Eglinton
511,2014,January,Friday,10,Person in Crisis,No,No,46,Pleasant View
512,2014,January,Friday,23,Person in Crisis,No,No,169,Bay-Cloverhill
513,2014,January,Friday,17,Suicide-related,Yes,Yes,129,Agincourt North
514,2014,January,Friday,1,Person in Crisis,No,No,170,Yonge-Bay Corridor
515,2014,January,Friday,18,Person in Crisis,No,No,141,Golfdale-Cedarbrae-Woburn
516,2014,January,Friday,15,Person in Crisis,No,No,90,Junction Area
517,2014,January,Friday,18,Suicide-related,No,No,120,Clairlea-Birchmount
518,2014,January,Friday,11,Person in Crisis,No,No,168,Downtown Yonge East
519,2014,January,Friday,0,Suicide-related,No,No,150,Fenside-Parkwoods
520,2014,January,Friday,17,Suicide-related,No,No,168,Downtown Yonge East
521,2014,January,Friday,6,Suicide-related,Yes,No,81,Trinity-Bellwoods
522,2014,January,Friday,14,Person in Crisis,No,No,7,Willowridge-Martingrove-Richview
523,2014,January,Friday,1,Person in Crisis,No,No,31,Yorkdale-Glen Park
524,2014,January,Friday,20,Person in Crisis,No,No,73,Moss Park
525,2014,January,Friday,23,Suicide-related,No,No,74,North St.James Town
526,2014,January,Friday,19,Person in Crisis,No,No,3,Thistletown-Beaumond Heights
527,2014,January,Friday,14,Person in Crisis,No,No,65,Greenwood-Coxwell
528,2014,January,Friday,13,Person in Crisis,Yes,Yes,126,Dorset Park
529,2014,January,Friday,21,Person in Crisis,Yes,Yes,124,Kennedy Park
530,2014,January,Friday,17,Person in Crisis,No,No,172,Dovercourt Village
531,2014,January,Friday,15,Person in Crisis,No,No,73,Moss Park
532,2014,January,Friday,9,Person in Crisis,Yes,No,58,Old East York
533,2014,January,Friday,8,Person in Crisis,No,No,73,Moss Park
534,2014,January,Friday,0,Person in Crisis,Yes,Yes,73,Moss Park
535,2014,January,Friday,16,Suicide-related,No,No,158,Islington
536,2014,January,Friday,5,Suicide-related,Yes,No,67,Playter Estates-Danforth
537,2014,January,Friday,9,Person in Crisis,No,No,123,Cliffcrest
538,2014,January,Friday,20,Person in Crisis,Yes,No,48,Hillcrest Village
539,2014,January,Friday,12,Person in Crisis,No,No,78,Kensington-Chinatown
540,2014,January,Friday,14,Person in Crisis,No,No,140,Guildwood
541,2014,January,Friday,13,Person in Crisis,Yes,Yes,73,Moss Park
542,2014,January,Friday,15,Person in Crisis,Yes,Yes,123,Cliffcrest
543,2014,January,Friday,23,Person in Crisis,No,No,159,Etobicoke City Centre
544,2014,January,Friday,16,Person in Crisis,No,No,125,Ionview
545,2014,January,Friday,8,Person in Crisis,No,No,68,North Riverdale
546,2014,January,Friday,6,Suicide-related,Yes,No,124,Kennedy Park
547,2014,January,Friday,3,Overdose,No,No,31,Yorkdale-Glen Park
955,2014,January,Saturday,23,Suicide-related,No,No,87,High Park-Swansea
956,2014,January,Saturday,3,Person in Crisis,No,No,5,Elms-Old Rexdale
957,2014,January,Saturday,4,Suicide-related,Yes,No,66,Danforth
958,2014,January,Saturday,12,Person in Crisis,No,No,12,Markland Wood
959,2014,January,Saturday,22,Person in Crisis,Yes,Yes,124,Kennedy Park
960,2014,January,Saturday,17,Person in Crisis,No,No,90,Junction Area
961,2014,January,Saturday,20,Overdose,Yes,Yes,135,Morningside
962,2014,January,Saturday,3,Suicide-related,No,No,2,Mount Olive-Silverstone-Jamestown
963,2014,January,Saturday,4,Person in Crisis,No,No,87,High Park-Swansea
964,2014,January,Saturday,14,Person in Crisis,No,No,155,Downsview
965,2014,January,Saturday,10,Person in Crisis,No,No,47,Don Valley Village
966,2014,January,Saturday,17,Person in Crisis,Yes,Yes,83,Dufferin Grove
967,2014,January,Saturday,16,Person in Crisis,No,No,25,Glenfield-Jane Heights
968,2014,January,Saturday,17,Suicide-related,Yes,Yes,70,South Riverdale
969,2014,January,Saturday,19,Person in Crisis,No,No,81,Trinity-Bellwoods
970,2014,January,Saturday,7,Overdose,Yes,No,139,Scarborough Village
971,2014,January,Saturday,13,Person in Crisis,No,No,83,Dufferin Grove
972,2014,January,Saturday,19,Person in Crisis,No,No,78,Kensington-Chinatown
973,2014,January,Saturday,16,Person in Crisis,No,No,30,Brookhaven-Amesbury
974,2014,January,Saturday,15,Person in Crisis,Yes,Yes,115,Mount Dennis
975,2014,January,Saturday,14,Person in Crisis,No,No,90,Junction Area
976,2014,January,Saturday,21,Overdose,Yes,Yes,41,Bridle Path-Sunnybrook-York Mills
977,2014,January,Saturday,14,Suicide-related,Yes,No,30,Brookhaven-Amesbury
978,2014,January,Saturday,21,Person in Crisis,Yes,No,95,Annex
979,2014,January,Saturday,16,Person in Crisis,No,No,16,Stonegate-Queensway
980,2014,January,Saturday,18,Overdose,No,No,165,Harbourfront-CityPlace
981,2014,January,Saturday,16,Suicide-related,Yes,No,141,Golfdale-Cedarbrae-Woburn
982,2014,January,Saturday,22,Suicide-related,No,No,102,Forest Hill North
983,2014,January,Saturday,7,Suicide-related,No,No,95,Annex
984,2014,January,Saturday,22,Suicide-related,Yes,Yes,172,Dovercourt Village
985,2014,January,Saturday,13,Person in Crisis,No,No,167,Church-Wellesley
986,2014,January,Saturday,14,Suicide-related,No,No,169,Bay-Cloverhill
987,2014,January,Saturday,15,Person in Crisis,No,No,90,Junction Area
988,2014,January,Saturday,14,Person in Crisis,No,No,170,Yonge-Bay Corridor
989,2014,January,Saturday,18,Suicide-related,No,No,2,Mount Olive-Silverstone-Jamestown
990,2014,January,Saturday,14,Person in Crisis,No,No,65,Greenwood-Coxwell
991,2014,January,Saturday,12,Person in Crisis,No,No,65,Greenwood-Coxwell
992,2014,January,Saturday,3,Person in Crisis,No,No,2,Mount Olive-Silverstone-Jamestown
993,2014,January,Saturday,2,Suicide-related,Yes,No,19,Long Branch
994,2014,January,Saturday,14,Suicide-related,Yes,Yes,40,St.Andrew-Windfields
995,2014,January,Saturday,13,Person in Crisis,No,No,94,Wychwood
996,2014,January,Saturday,8,Person in Crisis,No,No,162,West Queen West
997,2014,January,Saturday,5,Person in Crisis,Yes,No,124,Kennedy Park
998,2014,January,Saturday,21,Suicide-related,No,No,95,Annex
1310,2014,January,Saturday,17,Person in Crisis,No,No,47,Don Valley Village
1311,2014,January,Saturday,17,Suicide-related,Yes,Yes,18,New Toronto
1312,2014,January,Saturday,18,Person in Crisis,Yes,Yes,142,Woburn North
1313,2014,January,Saturday,7,Overdose,No,No,12,Markland Wood
1314,2014,January,Saturday,18,Suicide-related,No,No,52,Bayview Village
1315,2014,January,Saturday,20,Person in Crisis,No,No,43,Victoria Village
1316,2014,January,Saturday,12,Person in Crisis,Yes,No,31,Yorkdale-Glen Park
1317,2014,January,Saturday,14,Suicide-related,Yes,Yes,3,Thistletown-Beaumond Heights
1318,2014,January,Saturday,16,Overdose,Yes,No,149,Parkwoods-O'Connor Hills
1319,2014,January,Saturday,3,Suicide-related,Yes,No,153,Avondale
1320,2014,January,Saturday,2,Overdose,No,No,53,Henry Farm
1321,2014,January,Saturday,20,Person in Crisis,No,No,25,Glenfield-Jane Heights
1322,2014,January,Saturday,10,Suicide-related,Yes,No,168,Downtown Yonge East
1323,2014,January,Saturday,23,Suicide-related,Yes,No,54,O'Connor-Parkview
1324,2014,January,Saturday,19,Person in Crisis,No,No,73,Moss Park
1325,2014,January,Saturday,0,Person in Crisis,No,No,73,Moss Park
1326,2014,January,Saturday,1,Suicide-related,No,No,8,Humber Heights-Westmount
1327,2014,January,Saturday,19,Suicide-related,No,No,135,Morningside
1328,2014,January,Saturday,10,Suicide-related,No,No,170,Yonge-Bay Corridor
1329,2014,January,Saturday,18,Suicide-related,No,No,73,Moss Park
1330,2014,January,Saturday,8,Person in Crisis,No,No,170,Yonge-Bay Corridor
1331,2014,January,Saturday,15,Person in Crisis,No,No,19,Long Branch
1332,2014,January,Saturday,0,Person in Crisis,No,No,157,Bendale South
1333,2014,January,Saturday,22,Suicide-related,Yes,Yes,111,Rockcliffe-Smythe
1334,2014,January,Saturday,15,Suicide-related,Yes,Yes,37,Willowdale West
1335,2014,January,Saturday,15,Person in Crisis,Yes,Yes,19,Long Branch
1336,2014,January,Saturday,22,Person in Crisis,Yes,No,135,Morningside
1337,2014,January,Saturday,13,Person in Crisis,Yes,Yes,107,Oakwood Village
1338,2014,January,Saturday,22,Overdose,Yes,No,44,Flemingdon Park
1339,2014,January,Saturday,22,Person in Crisis,No,No,54,O'Connor-Parkview
1340,2014,January,Saturday,15,Person in Crisis,No,No,106,Humewood-Cedarvale
1341,2014,January,Saturday,15,Person in Crisis,Yes,No,7,Willowridge-Martingrove-Richview
1553,2014,January,Thursday,18,Person in Crisis,No,No,18,New Toronto
1554,2014,January,Thursday,15,Person in Crisis,No,No,6,Kingsview Village-The Westway
1555,2014,January,Thursday,18,Person in Crisis,No,No,85,South Parkdale
1556,2014,January,Thursday,19,Person in Crisis,No,No,115,Mount Dennis
1557,2014,January,Thursday,9,Person in Crisis,No,No,72,Regent Park
1558,2014,January,Thursday,16,Person in Crisis,Yes,No,143,West Rouge
1559,2014,January,Thursday,13,Person in Crisis,No,No,70,South Riverdale
1560,2014,January,Thursday,18,Person in Crisis,No,No,70,South Riverdale
1561,2014,January,Thursday,20,Suicide-related,No,No,42,Banbury-Don Mills
1562,2014,January,Thursday,16,Suicide-related,Yes,Yes,85,South Parkdale
1563,2014,January,Thursday,5,Suicide-related,Yes,No,171,Junction-Wallace Emerson
1564,2014,January,Thursday,22,Person in Crisis,No,No,43,Victoria Village
1565,2014,January,Thursday,0,Suicide-related,No,No,170,Yonge-Bay Corridor
1566,2014,January,Thursday,1,Person in Crisis,No,No,88,High Park North
1567,2014,January,Thursday,11,Suicide-related,Yes,Yes,59,Danforth East York
1568,2014,January,Thursday,11,Person in Crisis,No,No,52,Bayview Village
1569,2014,January,Thursday,9,Person in Crisis,No,No,169,Bay-Cloverhill
1570,2014,January,Thursday,21,Suicide-related,No,No,139,Scarborough Village
1571,2014,January,Thursday,16,Overdose,No,No,162,West Queen West
1572,2014,January,Thursday,9,Person in Crisis,Yes,Yes,74,North St.James Town
1573,2014,January,Thursday,22,Person in Crisis,No,No,1,West Humber-Clairville
1574,2014,January,Thursday,20,Person in Crisis,No,No,168,Downtown Yonge East
1575,2014,January,Thursday,14,Suicide-related,Yes,No,112,Beechborough-Greenbrook
1576,2014,January,Thursday,22,Suicide-related,Yes,Yes,85,South Parkdale
1577,2014,January,Thursday,10,Suicide-related,No,No,154,Oakdale-Beverley Heights
1578,2014,January,Thursday,13,Overdose,No,No,78,Kensington-Chinatown
1579,2014,January,Thursday,14,Person in Crisis,No,No,155,Downsview
1580,2014,January,Thursday,10,Person in Crisis,No,No,92,Corso Italia-Davenport
1581,2014,January,Thursday,13,Suicide-related,No,No,167,Church-Wellesley
1582,2014,January,Thursday,23,Person in Crisis,No,No,138,Eglinton East
1583,2014,January,Thursday,14,Person in Crisis,Yes,Yes,52,Bayview Village
1584,2014,January,Thursday,16,Person in Crisis,Yes,Yes,112,Beechborough-Greenbrook
1585,2014,January,Thursday,17,Person in Crisis,Yes,Yes,88,High Park North
1586,2014,January,Thursday,19,Person in Crisis,No,No,85,South Parkdale
1587,2014,January,Thursday,20,Person in Crisis,No,No,164,Wellington Place
1588,2014,January,Thursday,9,Person in Crisis,No,No,85,South Parkdale
1589,2014,January,Thursday,16,Person in Crisis,No,No,112,Beechborough-Greenbrook
1590,2014,January,Thursday,17,Suicide-related,Yes,No,168,Downtown Yonge East
1591,2014,January,Thursday,12,Person in Crisis,No,No,57,Broadview North
1592,2014,January,Thursday,16,Person in Crisis,No,No,62,East End-Danforth
1593,2014,January,Thursday,21,Person in Crisis,No,No,170,Yonge-Bay Corridor
1594,2014,January,Thursday,22,Suicide-related,No,No,136,West Hill
1595,2014,January,Thursday,0,Person in Crisis,No,No,73,Moss Park
1596,2014,January,Thursday,21,Person in Crisis,Yes,Yes,107,Oakwood Village
1597,2014,January,Thursday,23,Overdose,Yes,No,105,Lawrence Park North
1598,2014,January,Thursday,0,Person in Crisis,Yes,Yes,171,Junction-Wallace Emerson
1599,2014,January,Thursday,12,Overdose,No,No,68,North Riverdale
1600,2014,January,Thursday,19,Person in Crisis,No,No,73,Moss Park
1601,2014,January,Thursday,14,Suicide-related,Yes,Yes,111,Rockcliffe-Smythe
1602,2014,January,Thursday,12,Suicide-related,Yes,Yes,150,Fenside-Parkwoods
1603,2014,January,Thursday,14,Suicide-related,Yes,Yes,88,High Park North
1604,2014,January,Thursday,11,Suicide-related,Yes,Yes,149,Parkwoods-O'Connor Hills
1605,2014,January,Thursday,6,Suicide-related,Yes,Yes,30,Brookhaven-Amesbury
1606,2014,January,Thursday,21,Person in Crisis,Yes,Yes,111,Rockcliffe-Smythe
1607,2014,January,Thursday,14,Suicide-related,Yes,Yes,171,Junction-Wallace Emerson
1608,2014,January,Thursday,22,Suicide-related,No,No,32,Englemount-Lawrence
1744,2014,February,Sunday,15,Person in Crisis,Yes,No,47,Don Valley Village
1745,2014,February,Sunday,5,Suicide-related,No,No,88,High Park North
1746,2014,February,Sunday,17,Suicide-related,No,No,88,High Park North
1747,2014,February,Sunday,20,Suicide-related,No,No,38,Lansing-Westgate
1748,2014,February,Sunday,0,Suicide-related,No,No,164,Wellington Place
1749,2014,February,Sunday,1,Overdose,No,No,111,Rockcliffe-Smythe
1750,2014,February,Sunday,0,Person in Crisis,No,No,138,Eglinton East
1751,2014,February,Sunday,21,Suicide-related,Yes,No,168,Downtown Yonge East
1752,2014,February,Sunday,19,Person in Crisis,No,No,87,High Park-Swansea
1753,2014,February,Sunday,12,Person in Crisis,No,No,85,South Parkdale
1754,2014,February,Sunday,10,Person in Crisis,No,No,155,Downsview
1755,2014,February,Sunday,2,Person in Crisis,No,No,78,Kensington-Chinatown
1756,2014,February,Sunday,20,Person in Crisis,No,No,87,High Park-Swansea
1757,2014,February,Sunday,22,Suicide-related,Yes,No,97,Yonge-St.Clair
1758,2014,February,Sunday,3,Overdose,No,No,110,Keelesdale-Eglinton West
1759,2014,February,Sunday,15,Overdose,Yes,No,9,Edenbridge-Humber Valley
1760,2014,February,Sunday,13,Overdose,Yes,No,145,Malvern West
1761,2014,February,Sunday,23,Overdose,Yes,No,2,Mount Olive-Silverstone-Jamestown
1762,2014,February,Sunday,3,Person in Crisis,Yes,Yes,168,Downtown Yonge East
1763,2014,February,Sunday,13,Person in Crisis,No,No,159,Etobicoke City Centre
1764,2014,February,Sunday,20,Person in Crisis,No,No,54,O'Connor-Parkview
1765,2014,February,Sunday,0,Person in Crisis,No,No,27,York University Heights
1766,2014,February,Sunday,6,Person in Crisis,No,No,25,Glenfield-Jane Heights
1767,2014,February,Sunday,10,Person in Crisis,No,No,22,Humbermede
1768,2014,February,Sunday,16,Person in Crisis,No,No,32,Englemount-Lawrence
1769,2014,February,Sunday,15,Person in Crisis,Yes,Yes,78,Kensington-Chinatown
1770,2014,February,Sunday,14,Suicide-related,No,No,46,Pleasant View
1771,2014,February,Sunday,19,Person in Crisis,No,No,38,Lansing-Westgate
1772,2014,February,Sunday,16,Person in Crisis,No,No,136,West Hill
1773,2014,February,Sunday,18,Person in Crisis,Yes,Yes,46,Pleasant View
1774,2014,February,Sunday,12,Person in Crisis,No,No,107,Oakwood Village
1775,2014,February,Sunday,14,Suicide-related,Yes,No,15,Kingsway South
1776,2014,February,Sunday,18,Person in Crisis,No,No,174,South Eglinton-Davisville
1777,2014,February,Sunday,19,Person in Crisis,No,No,87,High Park-Swansea
1778,2014,February,Sunday,15,Suicide-related,No,No,48,Hillcrest Village
1779,2014,February,Sunday,14,Overdose,Yes,Yes,12,Markland Wood
1780,2014,February,Sunday,18,Suicide-related,Yes,No,63,The Beaches
1781,2014,February,Sunday,18,Person in Crisis,Yes,Yes,52,Bayview Village
1782,2014,February,Sunday,21,Overdose,No,No,115,Mount Dennis
1783,2014,February,Sunday,10,Person in Crisis,No,No,162,West Queen West
1784,2014,February,Sunday,23,Suicide-related,Yes,Yes,65,Greenwood-Coxwell
1785,2014,February,Sunday,13,Person in Crisis,No,No,73,Moss Park
1786,2014,February,Sunday,19,Person in Crisis,No,No,73,Moss Park
1787,2014,February,Sunday,2,Person in Crisis,No,No,115,Mount Dennis
1788,2014,February,Sunday,19,Suicide-related,No,No,84,Little Portugal
1789,2014,February,Sunday,3,Person in Crisis,No,No,81,Trinity-Bellwoods
1790,2014,February,Sunday,15,Person in Crisis,No,No,170,Yonge-Bay Corridor
1791,2014,February,Sunday,5,Person in Crisis,No,No,148,East L'Amoreaux
1792,2014,February,Sunday,18,Person in Crisis,Yes,Yes,73,Moss Park
1793,2014,February,Sunday,12,Suicide-related,No,No,119,Wexford/Maryvale
1794,2014,February,Sunday,20,Person in Crisis,Yes,Yes,136,West Hill
1795,2014,February,Sunday,1,Person in Crisis,No,No,111,Rockcliffe-Smythe
1796,2014,February,Sunday,16,Suicide-related,Yes,Yes,124,Kennedy Park
1797,2014,February,Sunday,2,Suicide-related,No,No,124,Kennedy Park
1798,2014,February,Sunday,20,Person in Crisis,No,No,2,Mount Olive-Silverstone-Jamestown
1799,2014,February,Sunday,20,Overdose,Yes,Yes,70,South Riverdale
1800,2014,February,Sunday,0,Suicide-related,Yes,Yes,64,Woodbine Corridor
2158,2014,February,Sunday,19,Person in Crisis,No,No,168,Downtown Yonge East
2159,2014,February,Sunday,3,Suicide-related,Yes,No,85,South Parkdale
2160,2014,February,Sunday,12,Person in Crisis,No,No,80,Palmerston-Little Italy
2161,2014,February,Sunday,1,Suicide-related,Yes,Yes,59,Danforth East York
2162,2014,February,Sunday,17,Person in Crisis,No,No,87,High Park-Swansea
2163,2014,February,Sunday,13,Person in Crisis,No,No,85,South Parkdale
2164,2014,February,Sunday,18,Suicide-related,Yes,Yes,55,Thorncliffe Park
2165,2014,February,Sunday,18,Suicide-related,Yes,Yes,63,The Beaches
2166,2014,February,Sunday,14,Overdose,No,No,73,Moss Park
2167,2014,February,Sunday,4,Person in Crisis,No,No,136,West Hill
2168,2014,February,Sunday,6,Person in Crisis,Yes,No,62,East End-Danforth
